"Area Type"," Area"," Area Name"," Standard Occupational Code"," Occupational Title"," Employment","Mean Wage"," Median Wage"," Entry Wage"," Experienced Wage                                                                                                                                                                                                                                             "
"1","36","New York State","25-2058","Special Education Teachers, Secondary School","17,030","$96,826","$94,331","$63,465","$113,506"
"1","36","New York State","25-2059","Special Education Teachers, All Other","2,970","$108,695","$99,227","$56,801","$134,642"
"1","36","New York State","25-3011","Adult Basic and Secondary Education and Literacy Teachers and Instructors","2,770","$86,676","$77,123","$54,476","$102,776"
"1","36","New York State","25-3021","Self-Enrichment Education Teachers","30,970","$73,602","$61,261","$40,377","$90,215"
"1","36","New York State","25-3031","Substitute Teachers, Short-Term","32,910","$49,749","$40,572","$35,364","$56,942"
"1","36","New York State","25-3041","Tutors","12,140","$61,753","$44,449","$34,910","$75,175"
"1","36","New York State","25-3099","Teachers and Instructors, All Other","3,080","$90,618","$78,519","$42,346","$114,752"
"1","36","New York State","25-4011","Archivists","900","$78,724","$76,914","$52,658","$91,757"
"1","36","New York State","25-4012","Curators","1,270","$99,123","$80,900","$49,269","$124,050"
"1","36","New York State","25-4013","Museum Technicians and Conservators","1,060","$71,850","$66,440","$46,474","$84,538"
"1","36","New York State","25-4022","Librarians and Media Collections Specialists","11,020","$84,380","$79,180","$55,949","$98,594"
